,dataSetName,archiveType,geo_meanLat,geo_meanLon,geo_meanElev,paleoData_variableName,paleoData_units,paleoData_proxy,paleoData_proxyGeneral,time_variableName,compilationName,TSID
491,NAm-SylvanPassbeiCody.Briffa.1996,tree,44.4,-110.1,2580.0,MXD,,MXD,,year,Pages2kTemperature,NAm_3652
492,NAm-PrinceWilliamSound.Barclay.1999,tree,60.5,-148.3,100.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_388
493,Asi-CHIN044.Brauning.2013,tree,29.07,93.95,2400.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_222
494,NAm-CornwallHills.Wilson.2005,tree,50.7,-121.5,1980.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_1708
495,NAm-CornwallHills.Wilson.2005,tree,50.7,-121.5,1980.0,MXD,,MXD,,year,Pages2kTemperature,NAm_1720
496,Asi-NEPA027.Krusic.2013,tree,27.5,87.98,3300.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_180
497,Asi-CHIN058.Shao.2013,tree,34.47,110.08,3950.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_092
498,Asi-YKC.Yasue.2013,tree,30.33,130.45,3700.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_119
499,Ocn-GreatBahamaBank.Lund.2006,marine sediment,24.765,-79.29,-694.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,LPD7c7e19c5
500,NAm-Bennington.Luckman.2013,tree,52.7,-118.3,1850.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_1840
501,Eur-NorthernSpain.Martin-Chivelet.2011,speleothem,42.9,-3.5,1250.0,d18O,permil,d18O,,year,Pages2kTemperature,Eur_008
502,NAm-LakeMina.St.Jacques.2008,lake sediment,45.89,-95.478,415.0,temperature,degC,pollen,,year,Pages2kTemperature,NAm_3868
503,NAm-LakeMina.St.Jacques.2008,lake sediment,45.89,-95.478,415.0,temperature,degC,pollen,,year,Pages2kTemperature,NAm_3867
504,Eur-LakeSilvaplana.Larocque-Tobler.2010,lake sediment,46.5,9.8,1791.0,temperature,degC,chironomid,,year,Pages2kTemperature,Eur_003
505,Ocn-WEqPacific.Stott.2007,marine sediment,-5.0,133.44,-2382.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,O2kLR_131
506,Asi-PAKI015.Esper.2007,tree,35.17,75.5,3300.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_211
507,Ocn-SWCoastOfIndia.Saraswat.2013,marine sediment,10.98,74.9993,-1245.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,O2kLR_118
508,Ocn-EasternTropicalNorthAtlantic.Kuhnert.2011,marine sediment,16.8402,-16.7327,-330.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,LPD13a78f9b
509,Asi-MTASSP.Davi.2013,tree,43.77,142.55,3730.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_108
510,Asi-CHIN061.Shao.2013,tree,37.03,98.63,2500.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_095
511,Ocn-MontegoBayJamaica.Haase-Schramm.2003,sclerosponge,18.4667,-77.95,-20.0,Sr_Ca,mmol/mol,Sr/Ca,,year,Pages2kTemperature,Ocean2kHR_127
512,Ocn-MontegoBayJamaica.Haase-Schramm.2003,sclerosponge,18.4667,-77.95,-20.0,d18O,permil,d18O,,year,Pages2kTemperature,Ocean2kHR_126
513,Ant-Vostok.Ekaykin.2014,glacier ice,-78.2785,104.8005,3488.0,dD,permil,dD,,year,Pages2kTemperature,Ant_028
514,Asi-DUSHJP.PAGES2k.2013,tree,36.65,98.08,100.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_050
515,NAm-SurpriseValley.Luckman.2001,tree,52.8,-117.7,1800.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_2308
516,NAm-LaTasajera.Biondi.2001,tree,31.0,-115.5,2400.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_2716
517,NAm-ShermanCreekPass.Briffa.1996,tree,48.7,-118.3,1800.0,MXD,,MXD,,year,Pages2kTemperature,NAm_3484
518,NAm-ShermanCreekPass.Briffa.1996,tree,48.7,-118.3,1800.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_3472
519,Asi-CHIN038.Fan.2013,tree,27.58,99.28,4100.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_080
520,Asi-CHIN026.Wright.2010,tree,27.62,99.8,2900.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_076
521,Asi-NOGSAK.PAGES2k.2013,tree,51.83,143.13,3300.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_216
522,NAm-BigBendLake.Jacoby.2003,tree,61.3,-142.7,1040.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_364
523,Ocn-KuroshioCurrent.Isono.2009,marine sediment,36.03,141.78,-2224.0,temperature,degC,alkenone,,year,Pages2kTemperature,O2kLR_175
524,Ocn-NorthwestPacificOcean.Harada.2004,marine sediment,46.32,152.53,-2793.0,temperature,degC,alkenone,,year,Pages2kTemperature,O2kLR_146
525,Ocn-SouthernChileMargin.Mohtadi.2007,marine sediment,-44.15,-75.16,-1169.0,temperature,degC,alkenone,,year,Pages2kTemperature,O2kLR_195
526,Asi-CHIN065.Shao.2013,tree,32.67,95.72,4500.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_099
527,Asi-NEPA003.Krusic.2013,tree,29.48,82.08,3700.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_167
528,NAm-DanaPlateauInyoNationalForest.King.2000,tree,37.9,-119.2,3300.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_772
529,NAm-WrangellsComposite.D'Arrigo.2006,tree,62.0,-142.0,200.0,MXD,,MXD,,year,Pages2kTemperature,NAm_3748
530,Asi-DQHZHO.PAGES2k.2013,tree,35.0,100.07,3400.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_075
531,Ocn-Philippines.Stott.2007,marine sediment,6.3,125.82,-2114.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,LPD1a0245b7
532,Ocn-MakassarStrait.Oppo.2009,marine sediment,-3.53,119.2,-503.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,O2kLR_148
533,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009,tree,25.1,-106.3,2000.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_2728
534,Asi-SHIYAT.PAGES2k.2013,tree,39.83,71.5,,trsgi,,TRW,,year,Pages2kTemperature,Asia_130
535,NAm-GalenaPassSawtooth.Briffa.1996,tree,43.9,-114.7,2580.0,MXD,,MXD,,year,Pages2kTemperature,NAm_2632
536,NAm-BarlowPassamMtHood.Briffa.1996,tree,45.3,-121.7,1300.0,MXD,,MXD,,year,Pages2kTemperature,NAm_3124
537,Aus-StewartIsland.D'Arrigo.1996,tree,-47.0,167.8,450.0,trsgi,,TRW,,year,Pages2kTemperature,Aus_067
538,Arc-VoeringPlateau.Berner.2011,marine sediment,66.97,7.64,-1048.0,temperature,degC,diatom,,year,Pages2kTemperature,Arc_037
539,Ocn-GreatBahamaBank.Richter.2006,marine sediment,24.58,-79.26,-531.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,LPDefb3d2b0
540,NAm-HighlandFireOutlook.Briffa.1996,tree,45.8,-112.5,2730.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_2740
541,NAm-HighlandFireOutlook.Briffa.1996,tree,45.8,-112.5,2730.0,MXD,,MXD,,year,Pages2kTemperature,NAm_2752
544,NAm-IttyhaukBay.D'Arrigo.2011,tree,56.0,-61.0,50.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_1744
545,Ocn-Ningaloo.Kuhnert.2000,coral,-21.905,113.965,-3.0,d18O,permil,d18O,,year,Pages2kTemperature,Ocean2kHR_008
546,NAm-CardinalDivide.Luckman.2001,tree,52.9,-117.3,2050.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_2128
547,Arc-Kongressvatnet.D'Andrea.2012,lake sediment,78.0217,13.9311,94.0,temperature,degC,alkenone,,year,Pages2kTemperature,Arc_078
548,NAm-RedMountainPassSilverton.Graybill.1994,tree,37.9,-107.7,3400.0,MXD,,MXD,,year,Pages2kTemperature,NAm_2464
